target,scaffold,active_count,rank
MAPK1,O=C(CS(=O)(=O)Cc1coc(-c2ccccc2)n1)Nc1ccccc1,1,46.0
MAPK1,O=C(CS(=O)Cc1coc(-c2ccccc2)n1)Nc1ccccc1,1,47.0
MAPK1,O=C(CSCc1cnoc1)N1CCN(c2ccccc2)CC1,1,48.0
MAPK1,O=C(CSCc1coc(-c2ccccc2)n1)N1CCN(c2ccccc2)CC1,1,49.0
MAPK1,O=C(CSCc1coc(-c2ccccc2)n1)NCc1ccc2c(c1)OCO2,1,50.0
MAPK1,O=C(CSc1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2)CC1,1,51.0
MAPK1,O=C(CSc1ccc2c(c1)OCCO2)c1c[nH]c(=O)[nH]c1=O,1,52.0
MAPK1,O=C(CSc1ccccn1)OCc1ccccc1,1,53.0
MAPK1,O=C(CSc1n[nH]c(-c2cccnc2)n1)Nc1ccnc2ccccc12,1,54.0
MAPK1,O=C(CSc1nc(-c2ccccc2)cs1)NC(=O)NCc1ccco1,1,55.0
MAPK1,O=C(CSc1nc2[nH]c(=O)[nH]c(=O)c2[nH]1)N1CCCC1,1,56.0
MAPK1,O=C(CSc1nc2ccsc2c(=O)n1Cc1ccccn1)N1CCCCC1,1,57.0
MAPK1,O=C(CSc1nc2scc(-c3ccco3)c2c(=O)[nH]1)N1CCOCC1,1,58.0
MAPK1,O=C(CSc1ncc2ccccc2n1)c1ccccc1,1,59.0
MAPK1,O=C(CSc1ncccn1)NCc1ccco1,1,60.0
MAPK1,O=C(CSc1ncccn1)c1ccn(CCc2ccccc2)c1,1,61.0
MAPK1,O=C(CSc1ncnc2ccccc12)c1ccn(-c2ccon2)c1,1,62.0
MAPK1,O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1nc2c(s1)CCCC2,1,63.0
MAPK1,O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1nc2ccccc2s1,1,64.0
MAPK1,O=C(CSc1nnc(-c2ccccc2)o1)Nc1ccccc1,1,65.0
MAPK1,O=C(CSc1nnc(Cc2ccc[nH]2)n1CCc1ccccc1)N1CCc2ccccc21,1,66.0
MAPK1,O=C(CSc1nnc(Cc2ccc[nH]2)n1CCc1ccccc1)Nc1ccc2c(c1)OCO2,1,67.0
MAPK1,O=C(CSc1nnc(Cc2ccc[nH]2)n1CCc1ccccc1)Nc1nccs1,1,68.0
MAPK1,O=C(CSc1nnc2c(n1)[nH]c1ccccc12)c1ccccc1,1,69.0
MAPK1,O=C(CSc1nnn[nH]1)N1CC[NH+](Cc2ccccc2)CC1,1,70.0
MAPK1,O=C(C[NH+]1CCC(C(=O)c2ccccc2)CC1)Nc1ccccc1,1,71.0
MAPK1,O=C(C[NH+]1CCN(c2ccccc2)CC1)NCC1CCCCC1,1,72.0
MAPK1,O=C(C[NH+]1CCN(c2ccccc2)CC1)NCCc1ccccc1,1,73.0
MAPK1,O=C(C[NH+]1CCN(c2ccccc2)CC1)Nc1c[nH]c2ccccc12,1,74.0
MAPK1,O=C(Cn1cccc1)Nc1nc2ccccc2s1,1,75.0
MAPK1,O=C(Cn1cnc2c(cnn2-c2ccccc2)c1=O)N1CCCc2ccccc21,1,76.0
MAPK1,O=C(Cn1cnc2ccccc21)c1ccn(-c2ccccc2)c1,1,77.0
MAPK1,O=C(NC1CCNCC1)c1cc2c(-c3ccccc3)n[nH]c2s1,1,78.0
MAPK1,O=C(NC1CCNCC1)c1cc2cnc3ccccc3c2o1,1,79.0
MAPK1,O=C(NCCCSC1CCCCC1)C1CCCN(C(=O)c2cc3sccc3[nH]2)C1,1,80.0
MAPK1,O=C(NCCC[NH+]1CCCCCC1)c1c[nH]c2ccccc2c1=O,1,81.0
MAPK1,O=C(NCCCc1ccccc1)C1CCCN(C(=O)c2cc3sccc3[nH]2)C1,1,82.0
MAPK1,O=C(NCCc1ccccc1)C1CCN(C(=O)c2sccc2-n2cccc2)CC1,1,83.0
MAPK1,O=C(NCc1ccccc1)c1ccc(-c2ccccc2)o1,1,84.0
MAPK1,O=C(NCc1ccccc1)c1nc[nH]c1C(=O)Nc1ccccc1,1,85.0
MAPK1,O=C(NCc1ccncc1)c1ccccc1,1,86.0
MAPK1,O=C(NCc1cnc2ccccc2c1)Nc1ccccc1,1,87.0
MAPK1,O=C(Nc1ccc(-c2ccco2)cc1)c1cccc(S(=O)(=O)N2CCOCC2)c1,1,88.0
MAPK1,O=C(Nc1ccc(-n2nncc2-c2ccccc2)cc1)c1ccco1,1,89.0
MAPK1,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccc(C[NH+]2CCOCC2)cc1,1,90.0
MAPK1,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cc(-c2ccccc2)n[nH]1,1,91.0
MAPK1,O=C(Nc1ccc2c(c1)OCCO2)c1cccc(S(=O)(=O)N2CCOCC2)c1,1,92.0
MAPK1,O=C(Nc1ccc2c(c1)OCO2)c1cccc(S(=O)(=O)N2CCCC2)c1,1,93.0
MAPK1,O=C(Nc1ccc2c(c1)OCO2)c1ccccc1,1,94.0
MAPK1,O=C(Nc1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1)N1CCCCC1,1,95.0
MAPK1,O=C(Nc1ccc2ncsc2c1)c1ccco1,1,96.0
MAPK1,O=C(Nc1ccc2nn(-c3ccccc3)nc2c1)c1ccc2c(c1)OCCO2,1,97.0
MAPK1,O=C(Nc1cccc(-c2nc3ccccc3o2)c1)C1CCCO1,1,98.0
MAPK1,O=C(Nc1ccccc1)C1CC(c2ccccc2)=NO1,1,99.0
MAPK1,O=C(Nc1ccccc1)C1CCC(=O)N1S(=O)(=O)c1ccccc1,1,100.0
MAPK1,O=C(Nc1ccccc1)C1CCCN1S(=O)(=O)c1ccccc1,1,101.0
MAPK1,O=C(Nc1ccccc1)C1CCN(S(=O)(=O)c2ccccc2)CC1,1,102.0
MAPK1,O=C(Nc1ccccc1)c1cc(-c2ccccc2)on1,1,103.0
MAPK1,O=C(Nc1ccccc1)c1cc2ccccc2o1,1,104.0
MAPK1,O=C(Nc1ccccc1)c1ccc(C[NH+]2CCOCC2)cc1,1,105.0
MAPK1,O=C(Nc1ccccc1)c1ccc2nccnc2c1,1,106.0
MAPK1,O=C(Nc1ccccc1)c1ccco1,1,107.0
MAPK1,O=C(Nc1ccccc1N1CC[NH2+]CC1)c1ccco1,1,108.0
MAPK1,O=C(Nc1cccnc1)c1cccc(S(=O)(=O)N2CCCCCC2)c1,1,109.0
MAPK1,O=C(Nc1ccncc1)c1ccc(COc2ccccc2)o1,1,110.0
MAPK1,O=C(Nc1nc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)cs1)c1cccs1,1,111.0
MAPK1,O=C(Nc1nc(-c2ccccn2)cs1)c1ccc(S(=O)(=O)N2CCCCC2)cc1,1,112.0
MAPK1,O=C(Nc1nc(-c2cccs2)cs1)c1ccccc1,1,113.0
MAPK1,O=C(Nc1nc(-c2ccncc2)cs1)c1ccccc1,1,114.0
MAPK1,O=C(Nc1nc(C23CC4CC(CC(C4)C2)C3)cs1)c1cnoc1,1,115.0
MAPK1,O=C(Nc1nc2ccccc2s1)C1CCCN1S(=O)(=O)c1ccccc1,1,116.0
MAPK1,O=C(Nc1nc2ccccc2s1)C1CCN(S(=O)(=O)c2cccs2)CC1,1,117.0
MAPK1,O=C(Nc1nc2ccccc2s1)c1ccco1,1,118.0
MAPK1,O=C(Nc1ncc2c(n1)CC(c1ccccc1)CC2=O)c1ccccc1,1,119.0
MAPK1,O=C(Nc1nncs1)c1ccccc1,1,120.0
MAPK1,O=C(OCC1CCCO1)c1cc2c([nH]1)CC(c1ccccc1)CC2=O,1,121.0
MAPK1,O=C(OCCCCN1C(=O)c2ccccc2C1=O)c1ccc[nH]1,1,122.0
MAPK1,O=C(OCCc1ccccc1)c1ccccc1,1,123.0
MAPK1,O=C(OCc1nnc(-c2ccccc2)o1)c1ccc[nH]1,1,124.0
MAPK1,O=C(c1cc2cnc3ccccc3c2o1)N1CCc2ccccc2C1,1,125.0
MAPK1,O=C(c1ccc2c(c1)ncn1c3ccccc3nc21)N1CCCCC1,1,126.0
MAPK1,O=C(c1ccc2nc(N3CCCCC3)sc2c1)N1CCN(c2ccccc2)CC1,1,127.0
MAPK1,O=C(c1cccc(-n2cnnc2)c1)N1CCN(c2nc(-c3ccccc3)cs2)CC1,1,128.0
MAPK1,O=C(c1cccc(C(=O)N2CCN(c3ccccc3)CC2)c1)N1CCN(c2ccccc2)CC1,1,129.0
MAPK1,O=C(c1cccc(S(=O)(=O)Nc2ccccc2)c1)N1CCN(c2ccccn2)CC1,1,130.0
MAPK1,O=C(c1ccccc1)N1CCN(c2ccccc2)CC1,1,131.0
MAPK1,O=C(c1ccccc1)c1c[nH]c(-c2nc3ccccc3[nH]2)c1,1,132.0
MAPK1,O=C(c1ccccc1)c1cc[nH]c1,1,133.0
MAPK1,O=C(c1ccco1)N1CCN(C(=O)C2CC(c3ccccc3)=NO2)CC1,1,134.0
MAPK1,O=C(c1ccco1)N1CCN(c2nc(-c3ccccc3)cs2)CC1,1,135.0
MAPK1,O=C1C(SCC2COCO2)=C(SCC2COCO2)C(=O)c2ncccc21,1,136.0
MAPK1,O=C1C=C([NH2+]Cc2ccccc2)C(=O)N1c1ccccc1,1,137.0
MAPK1,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,1,138.0
MAPK1,O=C1C=C2COCC=C2O1,1,139.0
MAPK1,O=C1CC(C(=O)N2CCN(c3ccccc3)CC2)CN1Cc1ccccc1,1,140.0
MAPK1,O=C1CC(c2ccccc2)c2cc3c(cc2N1)OCCO3,1,141.0
MAPK1,O=C1CC(c2cccs2)Cc2nc(NCC3CCCO3)ncc21,1,142.0
MAPK1,O=C1CC(n2cnc3ccccc32)C(=O)N1Cc1ccccc1,1,143.0
MAPK1,O=C1CC2(C=C(SCC(=O)c3cc4ccccc4oc3=O)N1)CCCC2,1,144.0
MAPK1,O=C1CCCC2=C1C(c1ccsc1)C=CN2c1cccnc1,1,145.0
MAPK1,O=C1CCOc2c1ccc1ccccc21,1,146.0
MAPK1,O=C1CCc2cc(S(=O)(=O)NCCC(=O)N3CCN(c4ccccc4)CC3)ccc2N1,1,147.0
MAPK1,O=C1CNC(=O)N1CCCCOc1ccccc1,1,148.0
MAPK1,O=C1COc2ccc(C(=O)COC(=O)c3ccccc3)cc2N1,1,149.0
MAPK1,O=C1N=CSC1=C1C=Cc2ccccc2N1,1,150.0
MAPK1,O=C1NC2Nc3ccccc3NC2N1c1ccccc1,1,151.0
MAPK1,O=C1Nc2ccccc2C1=Cc1ccccc1,1,152.0
MAPK1,O=C1Nc2ccccc2C2(CC[NH+](CCc3ccccc3)CC2)O1,1,153.0
MAPK1,O=C1OC(C(=O)Nc2nccs2)Cc2ccccc21,1,154.0
MAPK1,O=C1c2ccccc2-c2n[nH]c3cccc1c23,1,155.0
MAPK1,O=C1c2ccccc2-c2onc3c(N4CC[NH2+]CC4)ccc1c23,1,156.0
MAPK1,O=C1c2ccccc2C(=O)N1c1ccc2[nH]c(-c3ccco3)nc2c1,1,157.0
MAPK1,O=C1c2ccccc2C(=O)c2ccccc21,1,158.0
MAPK1,O=C1c2ccccc2C(Nc2ccc3c(c2)OCCO3)N1Cc1ccco1,1,159.0
MAPK1,O=C1c2ccccc2C(Nc2ccc3c(c2)OCO3)N1Cc1ccco1,1,160.0
MAPK1,O=S(=O)(NC1CC2CCC1C2)c1ccc2c(c1)OCCO2,1,161.0
MAPK1,O=S(=O)(Nc1cccc(-c2cn3ccsc3[nH+]2)c1)c1ccccc1,1,162.0
MAPK1,O=S(=O)(Nc1ccccc1)c1ccc(S(=O)(=O)N2CCCC2)cc1,1,163.0
MAPK1,O=S(=O)(c1ccc2c(c1)OCCO2)N(Cc1cnc2ccccc2c1)Cc1ccco1,1,164.0
MAPK1,O=S(=O)(c1cccc2nsnc12)N1CCc2ccccc21,1,165.0
MAPK1,O=S(=O)(c1ccccc1)N1CCC(c2ccc3c(c2)OCO3)CC1,1,166.0
MAPK1,O=S(=O)(c1ccccc1)N1CCSC1c1ccccc1,1,167.0
MAPK1,O=S(=O)(c1ccccc1)c1ccccc1,1,168.0
MAPK1,O=S(=O)(c1ccccc1)n1ccc(-c2ccccc2)n1,1,169.0
MAPK1,O=c1[nH]c(=Nc2ccccc2)cc2n1CCc1ccccc1-2,1,170.0
MAPK1,O=c1[nH]c(=O)c2[nH]c(N3CCCC3)nc2[nH]1,1,171.0
MAPK1,O=c1[nH]c(=O)c2c(-c3ccccc3)n(C3CCCCC3)cc2[nH]1,1,172.0
MAPK1,O=c1[nH]c(=O)c2c(nc(N3CCCCCC3)n2Cc2ccccc2)[nH]1,1,173.0
MAPK1,O=c1[nH]c(=O)c2c(nc(NCc3ccccc3)n2CCCc2ccccc2)[nH]1,1,174.0
MAPK1,O=c1[nH]c(=O)c2c(nc(NCc3ccccc3)n2CCOc2ccccc2)[nH]1,1,175.0
MAPK1,O=c1[nH]c(=O)c2c(nc(NCc3ccccc3)n2Cc2ccccc2)[nH]1,1,176.0
MAPK1,O=c1[nH]c(=O)c2c(ncn2CCCCSc2nc3ccccc3o2)[nH]1,1,177.0
MAPK1,O=c1[nH]c(SCc2ncc3ccccc3n2)nc2ccccc12,1,178.0
MAPK1,O=c1[nH]c2nc3n(c2c(=O)n1CCCc1ccccc1)CCN3c1ccccc1,1,179.0
MAPK1,O=c1[nH]c2nc3n(c2c(=O)n1CCc1ccccc1)CCCN3CCc1ccccc1,1,180.0
MAPK1,O=c1[nH]nc(-c2cccc(S(=O)(=O)NCC[NH+]3CCOCC3)c2)c2ccccc12,1,181.0
MAPK1,O=c1c(-c2ccccc2)coc2ccccc12,1,182.0
MAPK1,O=c1c(=Nc2c[nH]n(-c3ccccc3)c2=O)c(=O)c2ccccc12,1,183.0
MAPK1,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,1,184.0
MAPK1,O=c1cc(-c2ccccc2)oc2ccccc12,1,185.0
MAPK1,O=c1ncccn1C1CCCO1,1,186.0
MAPK1,O=c1oc2ccccc2c(=O)n1-c1ccccc1,1,187.0
MAPK1,O=c1oc2ccccc2c2ccccc12,1,188.0
MAPK1,c1cc2c(cc1-c1c[nH+]c3n1CCC3)OCCO2,1,189.0
MAPK1,c1cc2c3c(cccc3c1)CC2,1,190.0
MAPK1,c1cc2cc3c(cc2o1)OC1CC3CS1,1,191.0
MAPK1,c1ccc(-c2cc(NCc3cccs3)ncn2)cc1,1,192.0
MAPK1,c1ccc(-c2cc3c(N4CCOCC4)ncnc3s2)cc1,1,193.0
MAPK1,c1ccc(-c2ccc3ncnc(N4CCOCC4)c3c2)cc1,1,194.0
MAPK1,c1ccc(-c2ccc3ncnc(N4CC[NH2+]CC4)c3c2)cc1,1,195.0
MAPK1,c1ccc(-c2ccn[nH]2)cc1,1,196.0
MAPK1,c1ccc(-c2ccno2)cc1,1,197.0
MAPK1,c1ccc(-c2cn[nH]c2-c2ccccc2)cc1,1,198.0
MAPK1,c1ccc(-c2cnc(SCc3nc(-c4ccccc4)no3)nc2)cc1,1,199.0
MAPK1,c1ccc(-c2cncnc2NCc2cccs2)cc1,1,200.0
MAPK1,c1ccc(-c2csc(-c3nc4ccccc4[nH]3)n2)cc1,1,201.0
MAPK1,c1ccc(-c2csc(N3CCC([NH+]4CCCCC4)CC3)n2)cc1,1,202.0
MAPK1,c1ccc(-c2csc(N3CCN(c4ccccn4)CC3)n2)cc1,1,203.0
MAPK1,c1ccc(-c2csc3ncn4cnnc4c23)cc1,1,204.0
MAPK1,c1ccc(-c2n[nH]c3ncncc23)cc1,1,205.0
MAPK1,c1ccc(-c2nc(NC3CC3)c3ccccc3n2)cc1,1,206.0
MAPK1,c1ccc(-c2nc(NCC3CCCO3)c3ccccc3n2)cc1,1,207.0
MAPK1,c1ccc(-c2nc(NCc3cccs3)c3ccccc3n2)cc1,1,208.0
MAPK1,c1ccc(-c2nc(Nc3ccncc3)c3ccccc3n2)cc1,1,209.0
MAPK1,c1ccc(-c2nc3cnccn3c2NC2CCCC2)cc1,1,210.0
MAPK1,c1ccc(-c2nc3nonc3nc2-c2ccccc2)cc1,1,211.0
MAPK1,c1ccc(-c2ncc(N3CCCCCC3)o2)cc1,1,212.0
MAPK1,c1ccc(-c2ncc(NCc3cccc4c3OCO4)o2)cc1,1,213.0
MAPK1,c1ccc(-c2nccc(NCc3cccnc3)n2)cc1,1,214.0
MAPK1,c1ccc(-c2nccc(NCc3cccs3)n2)cc1,1,215.0
MAPK1,c1ccc(-c2nn3c(-c4ccco4)nnc3s2)cc1,1,216.0
MAPK1,c1ccc(-c2noc(CSc3nnc(-c4ccncc4)n3-c3ccccc3)n2)cc1,1,217.0
MAPK1,c1ccc(-c2oc3ncnc(NCCCn4ccnc4)c3c2-c2ccccc2)cc1,1,218.0
MAPK1,c1ccc(-c2onc3ccc(C4OCCO4)cc23)cc1,1,219.0
MAPK1,c1ccc(-n2cc3cnnc-3nc2SCc2cnoc2)cc1,1,220.0
MAPK1,c1ccc(-n2ccc3ccccc32)cc1,1,221.0
MAPK1,c1ccc(C2=Nn3c(nnc3-c3cc(-c4ccccc4)[nH]n3)SC2)cc1,1,222.0
MAPK1,c1ccc(C2=Nn3cnnc3SC2)cc1,1,223.0
MAPK1,c1ccc(CCNc2ccnc3ncnn23)cc1,1,224.0
MAPK1,c1ccc(CCNc2cnc(COc3ccccc3)o2)cc1,1,225.0
MAPK1,c1ccc(CCNc2nc3ccccc3s2)cc1,1,226.0
MAPK1,c1ccc(CCNc2ncnc(N3CCN(c4ccccc4)CC3)n2)cc1,1,227.0
MAPK1,c1ccc(CC[NH+]2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,1,228.0
MAPK1,c1ccc(CNc2[nH]c(-c3ccccc3)c[nH+]2)cc1,1,229.0
MAPK1,c1ccc(CNc2ccc(N3CCCCC3)cc2)cc1,1,230.0
MAPK1,c1ccc(CNc2ccnc(-c3ccccc3)n2)cc1,1,231.0
MAPK1,c1ccc(CNc2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)cc1,1,232.0
MAPK1,c1ccc(CNc2nc(-c3ccccc3)nc3ccccc23)cc1,1,233.0
MAPK1,c1ccc(CNc2ncnc3c2ncn3C2CCCO2)cc1,1,234.0
MAPK1,c1ccc(CNc2ncnc3c2oc2ncc4c(c23)CCOC4)nc1,1,235.0
MAPK1,c1ccc(CNc2ncnc3ccccc23)cc1,1,236.0
MAPK1,c1ccc(CNc2ncncc2-c2ccccc2)cc1,1,237.0
MAPK1,c1ccc(COc2nsnc2N2CCOCC2)cc1,1,238.0
MAPK1,c1ccc(C[NH+]2CCN(c3cnc(-c4ccccc4)o3)CC2)cc1,1,239.0
MAPK1,c1ccc(C[NH+]2CCN(c3ncnc4c3[nH]c3ccccc34)CC2)cc1,1,240.0
MAPK1,c1ccc(Cc2cnc3ncnn3c2Nc2ccc3c(c2)OCO3)cc1,1,241.0
MAPK1,c1ccc(N2CCN(c3ncnc4c3[nH]c3ccccc34)CC2)nc1,1,242.0
MAPK1,c1ccc(N2CC[NH+](CCCOc3ccc4ccccc4c3)CC2)nc1,1,243.0
MAPK1,c1ccc(N2CC[NH+](CCCOc3cccc4ccccc34)CC2)nc1,1,244.0
MAPK1,c1ccc(N2CC[NH+](Cc3ccc4cccnc4c3)CC2)nc1,1,245.0
MAPK1,c1ccc(N2CC[NH+](Cc3ncnc(N4CCCc5ccccc54)n3)CC2)cc1,1,246.0
MAPK1,c1ccc(Nc2cc(-c3ccccc3)ncn2)cc1,1,247.0
MAPK1,c1ccc(Nc2ccc3c(c2)=NC2(CCCCC2)[NH+]=3)cc1,1,248.0
MAPK1,c1ccc(Nc2ccccc2)cc1,1,249.0
MAPK1,c1ccc(Nc2ccnc(-c3ccccc3)n2)cc1,1,250.0
MAPK1,c1ccc(Nc2cnc3ccccc3n2)cc1,1,251.0
MAPK1,c1ccc(Nc2nc(N3CCCC3)c3ccccc3n2)cc1,1,252.0
MAPK1,c1ccc(Nc2ncnc(CSc3n[nH]c(-c4ccccc4)n3)n2)cc1,1,253.0
MAPK1,c1ccc(Nc2ncncn2)cc1,1,254.0
MAPK1,c1ccc(OCCCn2ccnc2)cc1,1,255.0
MAPK1,c1ccc(OCCCn2cnc3ccccc32)cc1,1,256.0
MAPK1,c1ccc(OCc2nnc(SCc3nc4ccccc4[nH]3)n2Cc2ccco2)cc1,1,257.0
MAPK1,c1ccc2c(N3CCCCC3)nc(-c3ccncc3)nc2c1,1,258.0
MAPK1,c1ccc2c(c1)Cc1cc3cc4c(cc3nc1-2)OCO4,1,259.0
MAPK1,c1ccc2c(c1)[nH]c1cnccc12,1,260.0
MAPK1,c1ccc2c(c1)oc1c(Nc3ccc4c(c3)OCCO4)ncnc12,1,261.0
MAPK1,c1ccc2cnccc2c1,1,262.0
MAPK1,c1ccc2nc3c(nc2c1)c1ccccc1n3CC[NH+]1CCOCC1,1,263.0
MAPK1,c1ccccc1,1,264.0
MAPK1,c1ccsc1,1,265.0
MAPK1,c1cn(-c2ccnc(-c3ccc4c(c3)OCO4)n2)cn1,1,266.0
MAPK1,c1cncc(-c2nccc(NCc3cccs3)n2)c1,1,267.0
MAPK1,c1cncc(Nc2nc(-c3ccncc3)cs2)c1,1,268.0
MAPK1,c1coc(CNc2ncnc3c2oc2ccccc23)c1,1,269.0
MAPK1,c1coc(CNc2ncncn2)c1,1,270.0
MAPK1,c1coc(Cc2ccc3cccnc3c2)c1,1,271.0
MAPK1,c1coc(Cn2nnnc2C[NH+]2CCN(c3nc4ccccc4s3)CC2)c1,1,272.0
MAPK1,c1csc(CNc2ncncc2-c2ccc3c(c2)OCO3)c1,1,273.0
MAPK1,c1nc2n[nH]cc2c2c1CCC2,1,274.0
MAPK1,c1nc2nc[nH]c(N3CCCC3)c-2n1,1,275.0
MAPK1,c1ncc2ncn(C3CCCO3)c2n1,1,276.0
PKM2,O=c1[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc2[nH]c1=O,10,1.0
PKM2,O=c1[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc2o1,7,2.0
PKM2,O=C(NCc1ccccc1)N1CCN(S(=O)(=O)c2ccccc2)CC1,6,3.0
PKM2,O=C1COc2cc(S(=O)(=O)Nc3ccccc3)ccc2N1,6,4.0
PKM2,O=S(=O)(c1ccccc1)c1ccccc1,6,5.0
PKM2,O=c1[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc2[nH]1,5,6.0
PKM2,O=C(CSc1ccccc1)N1CCN(S(=O)(=O)c2ccccc2)CC1,4,7.0
PKM2,O=C(CSc1nc2[nH]c(=O)[nH]c(=O)c2[nH]1)Nc1ccccc1,4,8.0
PKM2,O=C(c1ccco1)N1N=C(c2ccccc2)CC1c1ccccc1,4,9.0
PKM2,O=S(=O)(Nc1ccccc1)c1ccccc1,4,10.0
PKM2,c1ccc(C2=NOC3(CCNC3)C2)cc1,4,11.0
PKM2,O=C(CCn1cccn1)N1CCN(S(=O)(=O)c2ccccc2)CC1,3,12.0
PKM2,O=C(CSc1nc[nH]n1)Nc1ccccc1,3,13.0
PKM2,O=C(CSc1ncn[nH]1)Nc1ccccc1,3,14.0
PKM2,O=C1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc2N1,3,15.0
PKM2,O=C1SC(=Cc2ccc(N3CCOCC3)o2)C(=O)N1Cc1ccccc1,3,16.0
