target,docking_id,best_vina_score_kcal_mol,pose_path,log_path
MAPK1,MAPK1_r10_cid847290,-7.164,scripts/docking_top30/results/poses/MAPK1_r10_cid847290_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r10_cid847290.log
MAPK1,MAPK1_r07_cid863449,-7.134,scripts/docking_top30/results/poses/MAPK1_r07_cid863449_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r07_cid863449.log
MAPK1,MAPK1_r08_cid849356,-7.094,scripts/docking_top30/results/poses/MAPK1_r08_cid849356_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r08_cid849356.log
MAPK1,MAPK1_r23_cid845302,-7.083,scripts/docking_top30/results/poses/MAPK1_r23_cid845302_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r23_cid845302.log
MAPK1,MAPK1_r24_cid847621,-6.964,scripts/docking_top30/results/poses/MAPK1_r24_cid847621_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r24_cid847621.log
MAPK1,MAPK1_r27_cid848054,-6.952,scripts/docking_top30/results/poses/MAPK1_r27_cid848054_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r27_cid848054.log
MAPK1,MAPK1_r04_cid849019,-6.839,scripts/docking_top30/results/poses/MAPK1_r04_cid849019_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r04_cid849019.log
PKM2,PKM2_r04_cid4245024,-10.29,scripts/docking_top30/results/poses/PKM2_r04_cid4245024_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r04_cid4245024.log
PKM2,PKM2_r13_cid24782107,-10.25,scripts/docking_top30/results/poses/PKM2_r13_cid24782107_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r13_cid24782107.log
PKM2,PKM2_r03_cid49735565,-10.24,scripts/docking_top30/results/poses/PKM2_r03_cid49735565_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r03_cid49735565.log
PKM2,PKM2_r18_cid49643082,-9.807,scripts/docking_top30/results/poses/PKM2_r18_cid49643082_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r18_cid49643082.log
PKM2,PKM2_r21_cid7977776,-9.62,scripts/docking_top30/results/poses/PKM2_r21_cid7977776_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r21_cid7977776.log
PKM2,PKM2_r05_cid47200821,-9.589,scripts/docking_top30/results/poses/PKM2_r05_cid47200821_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r05_cid47200821.log
PKM2,PKM2_r24_cid24801862,-9.544,scripts/docking_top30/results/poses/PKM2_r24_cid24801862_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r24_cid24801862.log
PKM2,PKM2_r02_cid24787185,-9.543,scripts/docking_top30/results/poses/PKM2_r02_cid24787185_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r02_cid24787185.log
PKM2,PKM2_r01_cid7966421,-9.534,scripts/docking_top30/results/poses/PKM2_r01_cid7966421_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r01_cid7966421.log
PKM2,PKM2_r15_cid24813314,-9.499,scripts/docking_top30/results/poses/PKM2_r15_cid24813314_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r15_cid24813314.log
PKM2,PKM2_r20_cid14733227,-9.342,scripts/docking_top30/results/poses/PKM2_r20_cid14733227_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r20_cid14733227.log
PKM2,PKM2_r27_cid49643274,-9.282,scripts/docking_top30/results/poses/PKM2_r27_cid49643274_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r27_cid49643274.log
PKM2,PKM2_r28_cid47201282,-9.239,scripts/docking_top30/results/poses/PKM2_r28_cid47201282_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r28_cid47201282.log
PKM2,PKM2_r06_cid24837285,-9.19,scripts/docking_top30/results/poses/PKM2_r06_cid24837285_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r06_cid24837285.log
PKM2,PKM2_r25_cid47197893,-9.187,scripts/docking_top30/results/poses/PKM2_r25_cid47197893_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r25_cid47197893.log
PKM2,PKM2_r19_cid24787624,-9.121,scripts/docking_top30/results/poses/PKM2_r19_cid24787624_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r19_cid24787624.log
PKM2,PKM2_r22_cid47203229,-9.113,scripts/docking_top30/results/poses/PKM2_r22_cid47203229_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r22_cid47203229.log
PKM2,PKM2_r14_cid14723251,-9.08,scripts/docking_top30/results/poses/PKM2_r14_cid14723251_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r14_cid14723251.log
PKM2,PKM2_r16_cid24815762,-9.05,scripts/docking_top30/results/poses/PKM2_r16_cid24815762_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r16_cid24815762.log
PKM2,PKM2_r26_cid24790031,-9.042,scripts/docking_top30/results/poses/PKM2_r26_cid24790031_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r26_cid24790031.log
PKM2,PKM2_r17_cid51086450,-8.657,scripts/docking_top30/results/poses/PKM2_r17_cid51086450_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r17_cid51086450.log
PKM2,PKM2_r09_cid47201626,-8.587,scripts/docking_top30/results/poses/PKM2_r09_cid47201626_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r09_cid47201626.log
PKM2,PKM2_r11_cid14720761,-8.415,scripts/docking_top30/results/poses/PKM2_r11_cid14720761_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r11_cid14720761.log
PKM2,PKM2_r23_cid47203062,-8.297,scripts/docking_top30/results/poses/PKM2_r23_cid47203062_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r23_cid47203062.log
PKM2,PKM2_r10_cid14734616,-8.287,scripts/docking_top30/results/poses/PKM2_r10_cid14734616_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r10_cid14734616.log
PKM2,PKM2_r08_cid4258657,-8.259,scripts/docking_top30/results/poses/PKM2_r08_cid4258657_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r08_cid4258657.log
PKM2,PKM2_r07_cid49725559,-8.049,scripts/docking_top30/results/poses/PKM2_r07_cid49725559_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r07_cid49725559.log
PKM2,PKM2_r30_cid24834498,-8.017,scripts/docking_top30/results/poses/PKM2_r30_cid24834498_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r30_cid24834498.log
PKM2,PKM2_r12_cid7972968,-8.008,scripts/docking_top30/results/poses/PKM2_r12_cid7972968_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r12_cid7972968.log
PKM2,PKM2_r29_cid47201702,-7.849,scripts/docking_top30/results/poses/PKM2_r29_cid47201702_vina_out.pdbqt,scripts/docking_top30/results/logs/PKM2_r29_cid47201702.log
